condition,outer,inner,ci.low,resp.mean,ci.hi,ci.lo,mean
access,is,possible,5.12,5.3533333333333335,5.62,5.12,5.35
access,is,likely,5.913333333333333,6.153333333333333,6.4,5.91,6.15
access,is,unlikely,5.7465,5.993333333333333,6.24,5.75,5.99
access,certainly,possible,5.799833333333333,6.06,6.33,5.8,6.06
access,certainly,likely,6.3,6.52,6.76,6.3,6.52
access,certainly,unlikely,6.233,6.513333333333334,6.78,6.23,6.51
access,probably,possible,5.333333333333333,5.6,5.89,5.33,5.6
access,probably,likely,5.753333333333333,5.986666666666666,6.22,5.75,5.99
access,probably,unlikely,5.26,5.546666666666667,5.79,5.26,5.55
access,might,possible,4.973166666666667,5.226666666666667,5.48,4.97,5.23
access,might,likely,5.3,5.54,5.8,5.3,5.54
access,might,unlikely,5.3465,5.586666666666667,5.84,5.35,5.59
NA,is,possible,2.7533333333333334,2.953333333333333,3.16,2.75,2.95
NA,is,likely,3.82,4.093333333333334,4.37,3.82,4.09
NA,is,unlikely,1.9,2.16,2.41,1.9,2.16
NA,certainly,possible,3.4133333333333336,3.6733333333333333,3.94,3.41,3.67
NA,certainly,likely,4.173333333333333,4.48,4.78,4.17,4.48
NA,certainly,unlikely,1.7198333333333333,2.02,2.33,1.72,2.02
NA,probably,possible,2.94,3.1533333333333333,3.38,2.94,3.15
NA,probably,likely,3.56,3.8,4.04,3.56,3.8
NA,probably,unlikely,1.8933333333333333,2.1333333333333333,2.38,1.89,2.13
NA,might,possible,2.6198333333333337,2.8133333333333335,3.01,2.62,2.81
NA,might,likely,2.92,3.1133333333333333,3.33,2.92,3.11
NA,might,unlikely,2.1066666666666665,2.3466666666666667,2.59,2.11,2.35
state,is,possible,4.926666666666667,5.1466666666666665,5.37,4.93,5.15
state,is,likely,6.153333333333333,6.3933333333333335,6.65,6.15,6.39
state,is,unlikely,2.74,3.033333333333333,3.33,2.74,3.03
state,certainly,possible,5.633333333333334,5.86,6.07,5.63,5.86
state,certainly,likely,6.759833333333333,7.046666666666667,7.32,6.76,7.05
state,certainly,unlikely,2.319833333333333,2.6266666666666665,2.99,2.32,2.63
state,probably,possible,5.1066666666666665,5.346666666666667,5.6,5.11,5.35
state,probably,likely,5.946666666666666,6.166666666666667,6.39,5.95,6.17
state,probably,unlikely,3.1864999999999997,3.466666666666667,3.75,3.19,3.47
state,might,possible,4.6,4.8533333333333335,5.1,4.6,4.85
state,might,likely,5.126500000000001,5.3533333333333335,5.59,5.13,5.35
state,might,unlikely,3.3331666666666666,3.5866666666666664,3.88,3.33,3.59
